"Story","Title","Result","Date","Stability","Duration (s)"
"CASE ROUTING MULESOFT API","CASE ROUTING POSITIVE SCENARIO WITH TERM LIFE","SUCCESS","2018-06-25T11:47:25.272-04:00","0.0","0.05"
"CASE ROUTING MULESOFT API","CASE ROUTING POSITIVE SCENARIO WITH WHOLE LIFE","SUCCESS","2018-06-25T11:47:25.352-04:00","0.0","0.04"
