"Story","Title","Result","Date","Stability","Duration (s)"
"CASEIDService Feature Mulesoft API","CASE ROUTING NEGATIVE SCENARIO","SUCCESS","2018-06-25T11:47:20.025-04:00","0.0","3.13"
"CASE ROUTING MULESOFT API","CASE ROUTING NEGATIVE SCENARIO WITHOUT CASETYPE VALUE","SUCCESS","2018-06-25T11:47:25.468-04:00","0.0","0.0"
"CASEIDService Feature Mulesoft API","CASE ROUTING POSITIVE SCENARIO","SUCCESS","2018-06-25T11:47:24.479-04:00","0.0","0.75"
"CASE ROUTING MULESOFT API","CASE ROUTING POSITIVE SCENARIO WITH TERM LIFE","SUCCESS","2018-06-25T11:47:25.272-04:00","0.0","0.05"
"CASE ROUTING MULESOFT API","CASE ROUTING POSITIVE SCENARIO WITH WHOLE LIFE","SUCCESS","2018-06-25T11:47:25.352-04:00","0.0","0.04"
