"Story","Title","Result","Date","Stability","Duration (s)"
"Testing different requests on the student application","Application issues should be resolved","SUCCESS","2018-06-23T15:18:13.834-04:00","0.0","0.04"
"Testing different requests on the student application","Check if the student application can be accessed by users","SUCCESS","2018-06-23T15:18:09.264-04:00","0.0","3.08"
