"Story","Title","Result","Date","Stability","Duration (s)"
"Testing Teacher Appication for all features","Application issues should be resolved","SUCCESS","2018-06-24T15:22:08.009-04:00","0.0","0.05"
"Testing Teacher Appication for all features","Check if the student application can be accessed by users","SUCCESS","2018-06-24T15:22:07.933-04:00","0.0","0.04"
