"Story","Title","Result","Date","Stability","Duration (s)"
"CASEIDService Feature Mulesoft API","CASE ROUTING NEGATIVE SCENARIO","SUCCESS","2018-06-25T11:47:20.025-04:00","0.0","3.13"
"CASEIDService Feature Mulesoft API","CASE ROUTING POSITIVE SCENARIO","SUCCESS","2018-06-25T11:47:24.479-04:00","0.0","0.75"
