"Story","Title","Result","Date","Stability","Duration (s)"
"Case ID Service Feature Mulesoft API","CASE ROUTING NEGATIVE SCENARIO","SUCCESS","2018-07-13T10:47:42.168-04:00","0.0","4.69"
"Case Routing Mulesoft API","CASE ROUTING NEGATIVE SCENARIO WITHOUT GoCODE PARAM","ERROR","2018-07-13T10:47:48.189-04:00","0.0","0.01"
"Case Routing Mulesoft API","CASE ROUTING NEGATIVE SCENARIO WITHOUT PRODUCT CODE VALUE","COMPROMISED","2018-07-13T10:47:48.059-04:00","0.0","0.01"
"Case ID Service Feature Mulesoft API","CASE ROUTING POSITIVE SCENARIO","PENDING","2018-07-13T10:47:47.859-04:00","0.0","0.0"
"Case Routing Mulesoft API","CASE ROUTING POSITIVE SCENARIO WITH TERM LIFE","SUCCESS","2018-07-13T10:47:47.882-04:00","0.0","0.08"
