"Story","Title","Result","Date","Stability","Duration (s)"
"Testing Teacher Appication for all features","Application issues should be resolved","SUCCESS","2018-06-23T15:18:14.005-04:00","0.0","0.06"
"Testing Teacher Appication for all features","Check if the student application can be accessed by users","SUCCESS","2018-06-23T15:18:13.910-04:00","0.0","0.07"
