"Story","Title","Result","Date","Stability","Duration (s)"
"Testing Teacher Appication for all features","Application issues should be resolved","SUCCESS","2018-06-24T15:22:08.009-04:00","0.0","0.05"
"CASE ROUTING MULESOFT API","CASE ROUTING NEGATIVE SCENARIO WITHOUT CASETYPE VALUE","SUCCESS","2018-06-24T15:22:07.777-04:00","0.0","0.0"
"CASE ROUTING MULESOFT API","CASE ROUTING NEGATIVE SCENARIO WITHOUT GoCODE PARAM","ERROR","2018-06-24T15:22:07.811-04:00","0.0","0.01"
"CASE ROUTING MULESOFT API","CASE ROUTING NEGATIVE SCENARIO WITHOUT PRODUCT CODE VALUE","COMPROMISED","2018-06-24T15:22:07.730-04:00","0.0","0.01"
"CASE ROUTING MULESOFT API","CASE ROUTING POSITIVE SCENARIO WITH TERM LIFE","SUCCESS","2018-06-24T15:22:02.977-04:00","0.0","3.13"
"CASE ROUTING MULESOFT API","CASE ROUTING POSITIVE SCENARIO WITH WHOLE LIFE","SUCCESS","2018-06-24T15:22:07.642-04:00","0.0","0.05"
"Testing Teacher Appication for all features","Check if the student application can be accessed by users","SUCCESS","2018-06-24T15:22:07.933-04:00","0.0","0.04"
